Sample_ID	RBT_ELAI	WCT_ELAI	YCT_ELAI	# Heterokaryotypic Inversions
BRAM_19_25	0.891527575	0.008983497	0.099488927	0
BRAM_19_26	0.856474837	0.006381237	0.137143926	0
BRAM_19_27	0.867895475	0.005053306	0.127051219	0
BRAM_19_28	0.888860494	0.004715099	0.106424408	0
BRAM_19_29	0.842938976	0.004517207	0.152543817	0
BRAM_19_30	0.864862778	0.005470075	0.129667147	0
BULL1_07_03	0	1	0	0
BULL1_07_04	0.113920246	0.886079754	0	1
BULL1_07_05	0.023722385	0.976277615	0	0
BULL1_07_06	0.999915993	8.40E-05	0	0
BULL1_07_07	0	1	0	0
BULL1_07_08	0.000731418	0.999268582	0	0
BULL1_07_09	0.000200639	0.999799361	0	0
BULL1_07_10	0.999772191	0.000227809	0	0
BULL1_07_14	0.000400967	0.999599033	0	0
BULL1_07_15	0.033837564	0.966162436	0	0
BULL1_07_16	0.264734716	0.735265284	0	4
BULL1_07_17	6.48E-05	0.999935225	0	0
BULL1_07_18	0.06769726	9.32E-01	0	0
BULL1_07_19	0.99916122	0.00083878	0	0
BullLo_15_142	0.042846063	0.957153937	0	1
BullLo_15_143	0.000140727	0.999859273	0	0
BullLo_15_144	0.015911455	0.984088545	0	0
BullLo_15_145	0.000710994	9.99E-01	0	0
BullLo_15_146	0.000485775	0.999514225	0	0
BullLo_15_149	0.000502024	9.99E-01	0	0
BullLo_15_153	0.008296499	0.991703501	0	0
