Sample_ID	pCRT	pIRT	pRBT	pWCT	pYCT
BearUp_22_82	0	0.983146067	0.992410911	0.007949892	0
BearUp_22_83	0	0.995762712	0.998817581	0.002506266	0
BearUp_22_84	0	1	0.998184166	0.002128037	0
BearUp_22_85	0	1	0.999509964	0.001165501	0
BearUp_22_86	0	1	0.998539909	0.003205128	6.80457E-05
BearUp_22_87	0	0.974576271	0.988808081	0.010037307	0
BearUp_22_88	0	1	0.995723047	0.004434983	0
BearUp_22_89	0	1	0.999596839	0.000886368	0
BearUp_22_90	0	1	0.997090204	0.004523683	0
BearUp_22_91	0	1	0.998770693	0.001617832	0
BearUp_22_92	0	1	0.991563736	0.012495569	0
BearUp_22_93	0	1	0.998320361	0.003766816	0
BearUp_22_94	0	0.995762712	0.994705359	0.006314479	0
BearUp_22_95	0	1	0.998942918	0.001608579	0
BearUp_22_96	0	1	0.995114664	0.004081633	0
BearUp_22_97	0	1	0.998990796	0.002309059	0
BearUp_22_98	0	1	0.99749414	0.001596028	0
BearUp_22_99	0	1	0.998749496	0.000798864	0
Beetle_23_421	0	0	4.04498E-05	1.00E+00	0
Beetle_23_422	0	0	0.000849927	0.99776945	0
Beetle_23_423	0	0	0	1.00E+00	0
Beetle_23_424	0	0	0.000338926	0.999251917	0
Beetle_23_425	0	0	0.000609162	0.998749107	0
Beetle_23_426	0	0	0.000202053	1.00E+00	0
Beetle_23_427	0	0	4.04563E-05	0.999466382	0
Beetle_23_428	0	0	0.000161681	0.999555635	0
Beetle_23_429	0	0	8.07624E-05	1.00E+00	0
Beetle_23_430	0	0	0.000850409	0.99928813	0
Beetle_23_431	0	0	0.000494116	0.99900833	0
Beetle_23_432	0	0	0.000590917	0.998973306	7.14694E-05
Beetle_23_433	0	0	0.000382816	0.998783227	0
Beetle_23_434	0	0	4.30071E-05	0.999810678	0
Beetle_23_435	0	0	0.000525762	0.998483497	0
Beetle_23_436	0	0	0.00110692	0.998281165	6.91181E-05
Beetle_23_437	0	0	0.000161878	0.999465336	6.8018E-05
Beetle_23_438	0	0	0.001213101	0.997687656	0
Beetle_23_439	0	0	0.001901448	0.997506679	0
Beetle_23_440	0	0	0.006284175	0.994528166	0
Beetle_23_441	0	0	0.000247056	0.99954562	0
Beetle_23_442	0	0	0.000242307	0.999733333	0
Beetle_23_443	0	0	0.000809061	0.998309007	0
Beetle_23_444	0	0	0.000285481	0.999283026	0.000274952
Beetle_23_445	0	0	0.000121714	0.999732286	0.000135962
Beetle_23_446	0	0	0.000605865	0.998578536	0
Beetle_23_447	0	0	0.000202037	0.999733286	0.000135575
Beetle_23_448	0	0	8.38153E-05	0.999081726	0
Beetle_23_449	0	0	0.000203384	0.999372197	0.000136444
Beetle_23_450	0	0	0.000202151	0.999465907	6.79532E-05
Berry_04_124	0	0	0	0	0.998878924
BF_03_243	0	0	4.06835E-05	0	0.999035945
BigTimber10_43	0	0	0.011673321	9.47508E-05	0.983373277
BigTimber10_44	0	0	0.00449273	0	0.992870986
BigTimber10_45	0.029411765	0	0.037892562	0.000179565	0.96336689
BigTimber10_46	0.019607843	0	0.013833019	0	0.98378115
