sample_id	population	group
Wolf_24_124	Wolf_24	Kootenai
Wolf_24_125	Wolf_24	Kootenai
Wolf_24_126	Wolf_24	Kootenai
Wolf_24_127	Wolf_24	Kootenai
Wolf_24_128	Wolf_24	Kootenai
Wolf_24_129	Wolf_24	Kootenai
Wolf_24_130	Wolf_24	Kootenai
Wolf_24_131	Wolf_24	Kootenai
Wolf_24_132	Wolf_24	Kootenai
Wolf_24_134	Wolf_24	Kootenai
Wolf_24_135	Wolf_24	Kootenai
WolfCreek_20_001	Wolf_20	Kootenai
WolfCreek_20_002	Wolf_20	Kootenai
WolfCreek_20_003	Wolf_20	Kootenai
WolfCreek_20_004	Wolf_20	Kootenai
WolfCreek_20_005	Wolf_20	Kootenai
WolfCreek_20_006	Wolf_20	Kootenai
WolfCreek_20_007	Wolf_20	Kootenai
WolfCreek_20_008	Wolf_20	Kootenai
WolfCreek_20_009	Wolf_20	Kootenai
WolfCreek_20_010	Wolf_20	Kootenai
WolfCreek_20_011	Wolf_20	Kootenai
WolfCreek_20_012	Wolf_20	Kootenai
WolfCreek_20_014	Wolf_20	Kootenai
WolfCreek_20_015	Wolf_20	Kootenai
WolfCreek_20_016	Wolf_20	Kootenai
WolfCreek_20_017	Wolf_20	Kootenai
WolfCreek_20_018	Wolf_20	Kootenai
WolfCreek_20_019	Wolf_20	Kootenai
WolfCreek_20_020	Wolf_20	Kootenai
WolfCreek_20_021	Wolf_20	Kootenai
WolfCreek_20_022	Wolf_20	Kootenai
WolfCreek_20_023	Wolf_20	Kootenai
WolfCreek_20_025	Wolf_20	Kootenai
WolfCreek_20_026	Wolf_20	Kootenai
WolfCreek_20_027	Wolf_20	Kootenai
WolfCreek_20_028	Wolf_20	Kootenai
WolfCreek_20_029	Wolf_20	Kootenai
WolfCreek_20_030	Wolf_20	Kootenai
WolfCreek_20_031	Wolf_20	Kootenai
WolfCreek_20_032	Wolf_20	Kootenai
WolfCreek_20_033	Wolf_20	Kootenai
WolfCreek_20_034	Wolf_20	Kootenai
WolfCreek_20_035	Wolf_20	Kootenai
WolfCreek_20_036	Wolf_20	Kootenai
WolfCreek_20_037	Wolf_20	Kootenai
WolfCreek_20_038	Wolf_20	Kootenai
WolfCreek_20_039	Wolf_20	Kootenai
WolfCreek_20_040	Wolf_20	Kootenai
WolfCreek_20_041	Wolf_20	Kootenai
WolfCreek_20_042	Wolf_20	Kootenai
WolfCreek_20_043	Wolf_20	Kootenai
WolfCreek_20_044	Wolf_20	Kootenai
WolfCreek_20_045	Wolf_20	Kootenai
WolfCreek_20_046	Wolf_20	Kootenai
WolfCreek_20_047	Wolf_20	Kootenai
WolfCreek_20_048	Wolf_20	Kootenai
WolfCreek_20_049	Wolf_20	Kootenai
WolfCreek_20_050	Wolf_20	Kootenai
WolfCreek_20_051	Wolf_20	Kootenai
WolfCreek_20_052	Wolf_20	Kootenai
WolfCreek_20_053	Wolf_20	Kootenai
WolfCreek_20_055	Wolf_20	Kootenai
WolfCreek_20_056	Wolf_20	Kootenai
WolfCreek_20_057	Wolf_20	Kootenai
WolfCreek_20_058	Wolf_20	Kootenai
WolfCreek_20_059	Wolf_20	Kootenai
WolfCreek_20_060	Wolf_20	Kootenai
WolfCreek_20_061	Wolf_20	Kootenai
WolfCreek_20_062	Wolf_20	Kootenai
WolfCreek_20_063	Wolf_20	Kootenai
WolfCreek_20_064	Wolf_20	Kootenai
WolfCreek_20_065	Wolf_20	Kootenai
WolfCreek_20_066	Wolf_20	Kootenai
WolfCreek_20_067	Wolf_20	Kootenai
WolfCreek_20_068	Wolf_20	Kootenai
WolfCreek_20_069	Wolf_20	Kootenai
WolfCreek_20_070	Wolf_20	Kootenai
WolfCreek_20_071	Wolf_20	Kootenai
WolfCreek_20_072	Wolf_20	Kootenai
WolfCreek_20_073	Wolf_20	Kootenai
WolfCreek_20_074	Wolf_20	Kootenai
WolfCreek_20_075	Wolf_20	Kootenai
WolfCreek_20_076	Wolf_20	Kootenai
WolfCreek_20_077	Wolf_20	Kootenai
