Sample_ID	CRT	IRT	RBT	WCT	YCT
GreggG2_21_28	0.061146728	0.93668214	0.997828868	0.002171132	0
GreysR_03_2037	0	0	0	0	1
Griz_20_15	0.451293258	0.039541276	0.490834533	0.508273604	0.000891863
Grizzly_23_361	5.78033E-05	0.001370184	0.001427987	0.998572013	0
Grizzly_23_362	5.71768E-05	0.00023692	0.000294097	0.999705903	0
Grizzly_23_363	0	0.00124179	0.00124179	0.99875821	0
Grizzly_23_364	0	0	0	1	0
Grizzly_23_365	0	0	0	1	0
Grizzly_23_366	0	0.005715345	0.005715345	0.994284655	0
Grizzly_23_367	5.77909E-05	0.00029664	0.000354431	0.999645569	0
Grizzly_23_368	0	0	0	1	0
Grizzly_23_369	0	0.00081097	0.00081097	0.99918903	0
Grizzly_23_370	0	0.000359528	0.000359528	0.999640472	0
Grizzly_23_371	0	0.001913448	0.001913448	0.998086552	0
Grizzly_23_372	0.000203461	0.000636308	0.000839769	0.999160231	0
Grizzly_23_373	0	0.000929499	0.000929499	0.999070501	0
Grizzly_23_374	0	0.000571977	0.000571977	0.999428023	0
Grizzly_23_375	5.95979E-05	0.001095959	0.001155557	0.998844443	0
Grizzly_23_376	0.00108431	0.041153106	0.042237416	0.957762584	0
Grizzly_23_377	0	0.001425972	0.001425972	0.998574028	0
Grizzly_23_378	0	0.00218193	0.00218193	0.99781807	0
Grizzly_23_379	0	0	0	1	0
Grizzly_23_380	0	0	0	1	0
Grizzly_23_381	0	0.002113589	0.002113589	0.997886411	0
Grizzly_23_382	3.54779E-06	0.00000126	4.80926E-06	0.999995191	0
Grizzly_23_383	0.000196112	0.001480834	0.001676946	0.998323054	0
Grizzly_23_384	0	0.001662511	0.001662511	0.998337489	0
Grizzly_23_385	1.05357E-06	0.001474168	0.001475222	0.998524778	0
Grizzly_23_386	0.00260142	0.029219589	0.031821009	0.968178991	0
Grizzly_23_387	0	0.001540385	0.001540385	0.998459615	0
Grizzly_23_388	0.002114419	0.02299452	0.025108938	0.974891062	0
Grizzly_23_389	0.00061327	0.00056163	0.0011749	0.9988251	0
Grizzly_23_390	0	0.001838027	0.001838027	0.998161973	0
GR_NA_09	0.07540427	0.922962544	0.998366814	0.001633186	0
GR_NA_15	0.052970349	0.945331653	0.998302003	0.001697997	0
GSH_22_02	1	0	1	0	0
GSH_22_03	1	0	1	0	0
GSH_22_05	1	0	1	0	0
GSH_22_06	0.999430754	0.000569246	1	0	0
GSH_22_07	0.993991211	0.006008789	1	0	0
GSH_22_08	0.995992431	0.004007569	1	0	0
GSH_22_09	0.998060741	0.001939259	1	0	0
GSH_22_10	0.99233312	0.00766688	1	0	0
GSH_22_11	1	0	1	0	0
GSH_22_12	1	0	1	0	0
GSH_22_13	1	0	1	0	0
GSH_22_14	1	0	1	0	0
GSH_22_15	0.999931942	0.0000681	1	0	0
GSH_22_16	0.999790369	0.000209631	1	0	0
GSH_22_17	0.997472188	0.002527812	1	0	0
GSH_22_18	0.9934566	0.0065434	1	0	0
GSH_22_19	1	0	1	0	0
GSH_22_20	1	0	1	0	0
GSH_22_22	1	0	1	0	0
GSH_22_24	1	0	1	0	0
GSH_22_25	1	0	1	0	0
GSH_22_26	0.999640792	0.000359208	1	0	0
GSH_22_27	0.999337635	0.000662365	1	0	0
GSH_22_28	0.999887838	0.000112162	1	0	0
GSH_22_29	0.998839366	0.001160634	1	0	0
GSH_22_30	1	0	1	0	0
GSH_22_32	1	0	1	0	0
GSH_22_33	0.994972078	0.005027922	1	0	0
GSH_22_34	1	0	1	0	0
GSH_22_35	1	0	1	0	0
HogbackLo_03_12_22	0	0	0	0	1
HogbackUp_03_12_144	0	0	0	0	1
HoodR_93_32132	0.364633991	0.635366009	1	0	0
HoodR_93_32145	0.375886867	0.624113133	1	0	0
HoodR_93_32159	0.381508406	0.618491594	1	0	0
Howard_22_01	0.546777217	0.446117567	0.992894785	0.005255348	0.001849868
Howard_22_02	0.587611007	0.4113248	0.998935807	0.000312527	0.000751667
Howard_22_03	0.516541684	0.481400349	0.997942032	0.001996263	0.0000617
Howard_22_04	0.537337555	0.458533543	0.995871098	0.002208076	0.001920825
Howard_22_05	0.521782593	0.471749435	0.993532028	0.00326216	0.003205812
Howard_22_06	0.529856593	0.467590386	0.99744698	0.00200183	0.000551191
Howard_22_07	0.52566025	0.471974444	0.997634694	0.002365306	0
Howard_22_08	0.56344786	0.434026717	0.997474578	0.001773631	0.000751791
